Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Estado
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,pennsylvania
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,pennsylvania
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,pennsylvania
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,pennsylvania
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,pennsylvania
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,pennsylvania
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,pennsylvania
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,pennsylvania
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,pennsylvania
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,pennsylvania
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,pennsylvania
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,pennsylvania
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,puertorico
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,puertorico
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,puertorico
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,puertorico
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,puertorico
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,puertorico
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,puertorico
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,puertorico
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,puertorico
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,puertorico
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,puertorico
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,puertorico
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,puertorico
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,puertorico
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,puertorico
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,puertorico
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,puertorico
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,puertorico
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,puertorico
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,puertorico
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,puertorico
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,puertorico
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,puertorico
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,puertorico
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,puertorico
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,puertorico
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,puertorico
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,puertorico
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,rhodeisland
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,rhodeisland
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,rhodeisland
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,rhodeisland
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,rhodeisland
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,rhodeisland
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,rhodeisland
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,rhodeisland
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,rhodeisland
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,rhodeisland
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,rhodeisland
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,rhodeisland
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,rhodeisland
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,rhodeisland
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,rhodeisland
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,rhodeisland
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,rhodeisland
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,rhodeisland
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,rhodeisland
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,rhodeisland
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,rhodeisland
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,rhodeisland
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,rhodeisland
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,rhodeisland
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,rhodeisland
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,rhodeisland
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,rhodeisland
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,rhodeisland
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,southcarolina
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,southcarolina
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,southcarolina
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,southcarolina
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,southcarolina
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,southcarolina
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,southcarolina
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,southcarolina
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,southcarolina
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,southcarolina
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,southcarolina
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,southcarolina
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,southcarolina
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,southcarolina
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,southcarolina
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,southcarolina
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,southcarolina
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,southcarolina
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,southcarolina
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,southcarolina
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,southcarolina
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,southcarolina
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,southcarolina
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,southcarolina
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,southcarolina
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,southcarolina
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,southcarolina
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,southcarolina
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,southdakota
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,southdakota
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,southdakota
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,southdakota
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,southdakota
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,southdakota
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,southdakota
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,southdakota
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,southdakota
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,southdakota
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,southdakota
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,southdakota
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,southdakota
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,southdakota
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,southdakota
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,southdakota
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,southdakota
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,southdakota
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,southdakota
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,southdakota
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,southdakota
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,southdakota
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,southdakota
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,southdakota
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,southdakota
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,southdakota
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,southdakota
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,southdakota
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,tennesse
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,tennesse
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,tennesse
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,tennesse
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,tennesse
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,tennesse
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,tennesse
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,tennesse
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,tennesse
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,tennesse
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,tennesse
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,tennesse
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,tennesse
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,tennesse
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,tennesse
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,tennesse
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,tennesse
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,tennesse
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,tennesse
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,tennesse
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,tennesse
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,tennesse
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,tennesse
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,tennesse
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,tennesse
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,tennesse
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,tennesse
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,tennesse
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,texas
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,texas
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,texas
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,texas
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,texas
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,texas
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,texas
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,texas
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,texas
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,texas
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,texas
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,texas
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,texas
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,texas
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,texas
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,texas
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,texas
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,texas
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,texas
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,texas
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,texas
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,texas
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,texas
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,texas
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,texas
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,texas
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,texas
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,texas
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,utah
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,utah
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,utah
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,utah
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,utah
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,utah
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,utah
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,utah
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,utah
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,utah
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,utah
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,utah
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,utah
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,utah
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,utah
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,utah
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,utah
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,utah
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,utah
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,utah
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,utah
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,utah
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,utah
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,utah
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,utah
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,utah
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,utah
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,utah
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,vermont
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,vermont
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,vermont
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,vermont
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,vermont
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,vermont
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,vermont
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,vermont
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,vermont
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,vermont
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,vermont
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,vermont
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,vermont
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,vermont
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,vermont
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,vermont
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,vermont
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,vermont
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,vermont
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,vermont
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,vermont
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,vermont
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,vermont
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,vermont
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,vermont
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,vermont
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,vermont
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,vermont
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,virginia
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,virginia
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,virginia
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,virginia
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,virginia
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,virginia
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,virginia
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,virginia
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,virginia
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,virginia
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,virginia
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,virginia
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,virginia
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,virginia
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,virginia
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,virginia
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,virginia
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,virginia
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,virginia
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,virginia
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,virginia
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,virginia
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,virginia
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,virginia
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,virginia
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,virginia
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,virginia
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,virginia
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,virginislands
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,virginislands
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,virginislands
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,virginislands
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,virginislands
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,virginislands
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,virginislands
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,virginislands
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,virginislands
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,virginislands
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,virginislands
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,virginislands
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,virginislands
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,virginislands
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,virginislands
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,virginislands
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,virginislands
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,virginislands
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,virginislands
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,virginislands
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,virginislands
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,virginislands
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,virginislands
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,virginislands
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,virginislands
